"","LAB","GRN","LIB","ID"
"1",0.4,0,1,3281585
"2",0,0.666666666666667,1,3378767
"3",0,0.666666666666667,1,3395061
"4",1,0,0.5,3718640
"5",0,0.266666666666667,1,3832909
"6",1,0.714285714285714,0,4773141
"7",1,0.142857142857143,0,4817504
"8",1,0,0.75,4916675
"9",1,0.5,0,4950690
"10",1,0,0.333333333333333,5810090
"11",1,0,0.25,6889637
"12",0.142857142857143,0,1,7839734
"13",1,0.8,0,8125977
"14",1,0.6,0,8295748
"15",0.333333333333333,0,1,8296051
"16",0.545454545454545,0,1,8497548
"17",0.181818181818182,0,1,9622928
"18",1,0,0.3,3300635
"19",0.6,1,0,3885362
"20",1,0.571428571428571,0,4267803
"21",0,0.285714285714286,1,4504067
"22",1,0.529411764705882,0,4603325
"23",0.8,0,1,5234043
"24",1,0,0.1,5529528
"25",0.8,1,0,6407569
"26",1,0,0.3,6910783
"27",0.222222222222222,1,0,7200502
"28",0.6,0,1,7358593
"29",0.75,1,0,7867739
"30",0,0.666666666666667,1,4160847
"31",0.636363636363636,1,0,4461914
"32",1,0,0.25,4876263
"33",0,0.666666666666667,1,4997294
"34",1,0.555555555555556,0,4998774
"35",1,0.2,0,6485243
"36",0.75,1,0,6709332
"37",0.818181818181818,1,0,6752837
"38",1,0.8,0,6850918
"39",0,0.8,1,7139134
"40",0,1,0.25,8080934
"41",0.25,0,1,3505219
"42",0.714285714285714,1,0,3523226
"43",0.8,1,0,3526385
"44",1,0,0.7,4255585
"45",0.666666666666667,1,0,4460112
"46",0,1,0.0714285714285714,4521761
"47",1,0.857142857142857,0,5228176
"48",0.333333333333333,0,1,5251595
"49",1,0.666666666666667,0,6129815
"50",0.2,0,1,6226899
"51",0.833333333333333,0,1,6231507
"52",1,0.636363636363636,0,6465933
"53",0.142857142857143,0,1,6686856
"54",0.266666666666667,0,1,6712382
"55",0.647058823529412,1,0,6725760
"56",0.444444444444444,0,1,6962432
"57",0.222222222222222,0,1,7380559
"58",0.333333333333333,1,0,7497292
"59",0.684210526315789,1,0,7900603
"60",0.818181818181818,1,0,8419124
"61",0.733333333333333,1,0,8574535
"62",1,0.777777777777778,0,9010205
"63",1,0,0.166666666666667,9413592
"64",0.2,0,1,9519666
"65",0,0.666666666666667,1,9773186
"66",1,0.428571428571429,0,3206373
"67",0.5,0,1,3806000
"68",0.315789473684211,0,1,4208360
"69",1,0,0.285714285714286,4367241
"70",0,1,0.5,5689007
"71",1,0,0.25,6204680
"72",0.210526315789474,0,1,6250086
