"","GRN","COAL","LAB","ID","beta","type","type2"
"149",0.666666666666667,1,0,9249896,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"150",0,1,0.333333333333333,9279513,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"151",0.333333333333333,0,1,9328195,0.333333333333333,"LAB.GRN.COAL","LAB.GRN.COAL"
"152",1,0,0.333333333333333,9512066,0.333333333333333,"GRN.LAB.COAL","GRN.LAB.COAL"
"153",0,1,0.181818181818182,9660869,0.181818181818182,"COAL.LAB.GRN","COAL.LAB.GRN"
"154",1,0,0.875,3816473,0.875,"GRN.LAB.COAL","GRN.LAB.COAL"
"155",1,0,0.714285714285714,4181851,0.714285714285714,"GRN.LAB.COAL","GRN.LAB.COAL"
"156",0.5,1,0,4512076,0.5,"COAL.GRN.LAB","COAL.GRN.LAB"
"157",0,1,0.117647058823529,4845760,0.117647058823529,"COAL.LAB.GRN","COAL.LAB.GRN"
"158",0.875,0,1,4853509,0.875,"LAB.GRN.COAL","LAB.GRN.COAL"
"159",0,1,0.1,4866862,0.1,"COAL.LAB.GRN","COAL.LAB.GRN"
"160",1,0,0.666666666666667,5266552,0.666666666666667,"GRN.LAB.COAL","GRN.LAB.COAL"
"161",0.333333333333333,0,1,5320342,0.333333333333333,"LAB.GRN.COAL","LAB.GRN.COAL"
"162",0.7,0,1,5392470,0.7,"LAB.GRN.COAL","LAB.GRN.COAL"
"163",0.538461538461538,0,1,5514393,0.538461538461538,"LAB.GRN.COAL","LAB.GRN.COAL"
"164",0,0.1,1,5698872,0.1,"LAB.COAL.GRN","LAB.COAL.GRN"
"165",0,1,0.166666666666667,6077737,0.166666666666667,"COAL.LAB.GRN","COAL.LAB.GRN"
"166",1,0,0.4,6204886,0.4,"GRN.LAB.COAL","GRN.LAB.COAL"
"167",1,0,0.9,6510796,0.9,"GRN.LAB.COAL","GRN.LAB.COAL"
"168",0.875,0,1,6713274,0.875,"LAB.GRN.COAL","LAB.GRN.COAL"
"169",1,0,0.5,6722978,0.5,"GRN.LAB.COAL","GRN.LAB.COAL"
"170",0,1,0.2,7046243,0.2,"COAL.LAB.GRN","COAL.LAB.GRN"
"171",1,0,0.473684210526316,7125103,0.473684210526316,"GRN.LAB.COAL","GRN.LAB.COAL"
"172",0,0.5,1,7456647,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"173",0,1,0.4,8098783,0.4,"COAL.LAB.GRN","COAL.LAB.GRN"
"174",0,1,0.666666666666667,8147490,0.666666666666667,"COAL.LAB.GRN","COAL.LAB.GRN"
"175",1,0.333333333333333,0,8190986,0.333333333333333,"GRN.COAL.LAB","GRN.COAL.LAB"
"176",0.647058823529412,0,1,3278205,0.647058823529412,"LAB.GRN.COAL","LAB.GRN.COAL"
"177",0,0.5,1,3496283,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"178",1,0.375,0,3993138,0.375,"GRN.COAL.LAB","GRN.COAL.LAB"
"179",0,0.5,1,4087534,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"180",0.8,0,1,4111810,0.8,"LAB.GRN.COAL","LAB.GRN.COAL"
"181",0,1,0.888888888888889,4217029,0.888888888888889,"COAL.LAB.GRN","COAL.LAB.GRN"
"182",0,1,0.923076923076923,4424395,0.923076923076923,"COAL.LAB.GRN","COAL.LAB.GRN"
"183",1,0,0.7,4951298,0.7,"GRN.LAB.COAL","GRN.LAB.COAL"
"184",1,0,0.7,5557248,0.7,"GRN.LAB.COAL","GRN.LAB.COAL"
"185",0.6,0,1,6274783,0.6,"LAB.GRN.COAL","LAB.GRN.COAL"
"186",0,1,0.769230769230769,7008221,0.769230769230769,"COAL.LAB.GRN","COAL.LAB.GRN"
"187",0,0.5,1,7328180,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"188",0,1,0.4,7358192,0.4,"COAL.LAB.GRN","COAL.LAB.GRN"
"189",0.666666666666667,1,0,7388383,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"190",1,0,0.777777777777778,8803066,0.777777777777778,"GRN.LAB.COAL","GRN.LAB.COAL"
"191",0,1,0.545454545454545,8880213,0.545454545454545,"COAL.LAB.GRN","COAL.LAB.GRN"
