"","grn","coal","alp"
"1",2.32309752330184,7.14762015827,3.73424008535221
"2",4.64433687645942,7.62855414533988,0.40829903469421
"3",5.34666015906259,6.49637036281638,1.95507920067757
"4",4.0665018230211,4.83354806993157,4.81468509114347
"5",4.20783254876733,5.9600218993146,4.20262224297039
"6",2.99798446008936,8.65315715014003,0.869521018350497
"7",3.00444881059229,4.8133889073506,2.61861385474913
"8",4.85501233139075,1e-05,6.93490583123639
"9",2.97034661332145,2.55901228683069,6.28724264539778
"10",6.46111308597028,7.02332222298719,7.93324138270691
"11",4.55902570928447,4.44824005663395,6.24589580274187
"12",5.11545794736594,6.07811435987242,7.64279667148367
"13",0.100538573227823,9.67165589006618,0.245530771790072
"14",5.72790683130734,4.10850486671552,6.26715121488087
"15",6.07456907257438,6.73738325550221,7.71736285719089
"17",1.16557647101581,7.85833531362005,1.51364041492343
"18",7.63467600662261,0.255987043026835,9.82704347511753
"19",2.53671481204219,2.78557100333273,3.19826603285037
"20",6.7596256644465,2.24026757432148,9.85120710078627
"21",0.190871101105586,5.620186554268,2.333540674299
"22",0.662154668709263,6.13210327457637,4.38301237300038
"23",4.82252713106573,4.96782400365919,5.06475966842845
"24",1.66735958028585,7.2327350943815,2.73064774065278
"26",1.49894495750777,2.26707791653462,5.65623023803346
"28",2.88509412063286,5.09607318765484,3.48715963144787
"29",1.09929223591462,5.04660829994828,4.72289167018607
"30",8.20471289474517,5.34730673045851,6.87940029404126
"32",5.20247640530579,1.24902692553587,7.9946036960464
"33",9.76380117912777,0.176456257933751,10.4679034401197
"34",3.19895708397962,5.14363394444808,1.96230295114219
"35",4.63748903735541,0.552654992090538,9.28977140970528
"36",1e-05,1e-05,0.255847005872056
"37",4.55027217394672,4.6306798919104,6.98533224826679
"38",5.3773362308275,7.58592506800778,7.39896431239322
"39",0.286932084010914,0.668832006398588,10.4240613884758
"40",10.0433446080424,0.250235585262999,7.90023078001104
"41",1.50005576852709,3.26642905152403,6.57790252217092
"42",9.48398054414429,1e-05,1.50718512944877
"43",1.08835549699143,6.41489592450671,4.08968047518283
"45",8.01743151061237,3.71398888877593,7.3428430177737
"46",4.97292747301981,5.02233868325129,4.63944718032144
"47",3.04032405233011,3.30656108655967,2.71155631169677
"49",0.340309963561594,7.13092445698567,1e-05
"50",8.42038955329917,0.566599183948711,8.48442214098759
"51",4.64602266694419,5.18215843127109,3.72104311478324
"52",9.97923513595015,4.32462133141235,8.06958094146103
"53",1e-05,5.85373034421355,5.89761105272919
"54",0.718868192285299,2.5548297453206,7.41350206825882
"55",4.94233203912154,6.58701460901648,1.69067764980718
"56",5.94586355122738,3.28317398414947,8.38197339139879
"57",5.27118605165742,5.14088418264873,5.84662367496639
"59",5.32199830934405,8.42809945996851,5.34648897382431
"60",1e-05,1.59614965738729,0.473992081591859
"61",5.01149184373207,5.39354580827057,5.23886698903516
"63",3.1566297179088,2.29105125670321,7.13007270055823
"65",9.41249408968724,1.45636211195961,6.60693808179349
"66",7.57669793628156,2.95903078443371,6.88392726122402
"67",7.51608071196824,2.37371939606965,7.7741018908564
"68",8.43713808478788,1e-05,10.180303938454
"69",0.408375383820385,7.13871289882809,1e-05
"70",5.11768892104737,5.58356752246618,4.68286624737084
"71",4.97701982595026,6.31479239650071,1.41522996756248
"72",0.0728948237374425,9.93867385503836,1e-05
"73",4.99958347878419,5.24612602987327,4.50415818626061
"74",7.0782384169288,1.03824554593302,7.10426000482403
"75",6.6242721802555,5.73526910529472,5.19484691228718
"77",4.90214849566109,5.24926085746847,4.02305091591552
"78",1e-05,5.21545989625156,5.14866775553674
"79",0.0282103593926877,7.62818320142105,1.62683079321869
"80",6.1826055792626,2.15155941923149,4.52477333019488
"81",8.15749032911845,2.6129169142805,7.24342439230531
"82",1e-05,3.08326432807371,5.24408561200835
"83",0.362077401718125,10.3194566110615,1e-05
"84",8.14429314318113,5.02488924376667,6.79926214553416
"85",10.0379499203991,3.697510760976,3.1370404032059
"86",6.37484538648278,1e-05,7.18979818280786
"87",0.132122186711058,6.19252224173397,2.43778124800883
"88",5.78065967350267,7.25461337226443,6.13201552140526
"89",1e-05,5.28925071819685,0.480799233075231
"90",6.496912029339,0.782795410370454,5.55616042437032
"91",6.2158000767231,1.84436950646341,8.47023981320672
"92",0.387120695784688,9.89925148687325,0.25369861559011
"93",0.302673555212095,9.70218799845316,1.58066049101762
"94",1e-05,6.49863526062109,4.76718932925723
"95",6.04610855365172,2.74144820380025,8.29355762270279
"96",1.02452772646211,8.54729592334479,1.09106951509602
"97",1e-05,7.46498880768195,1.15583607368171
"98",0.958861361490563,8.28848709352314,2.96546270907857
"99",8.65118523268029,0.790615559089929,6.09187634056434
"100",0.541197696700692,5.01430127373897,3.27856377745047
